Feature,Model Args,Test Acc
ind.pubmed-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.6711233012378216
ind.pubmed-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.42981904111802577
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.2709893524646759
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.2697405621409416
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.27060511112213137
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.2704129904508591
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.2705090463161469
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.2714696601033211
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.2699326828122139
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.2666665941476822
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 3,0.2648414298892021
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 1,0.2704129859805107
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.2656099185347557
squirrel-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.26359262615442275
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.7810810506343842
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.6108107879757881
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.6297297060489655
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.7999999880790709
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.7891891837120056
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.8027026891708374
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.7864864706993103
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.7621621310710907
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 3,0.6459459245204926
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 1,0.7999999761581421
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.7864864528179168
texas-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.7432431995868682
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.6960783898830414
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.4294117629528046
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.29019607342779635
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.8333332836627959
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.8215685784816742
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.8137254416942596
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.8294117152690887
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.7803921103477478
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 3,0.6941176146268845
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 1,0.8274509310722351
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.8294117212295532
wisconsin-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.8058823049068451
