nohup: ignoring input
Using backend: pytorch
cuda:0 pretrained/GGCN_wisconsin_04_14_02_15.pt
Epoch:0134 train loss:0.019 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0135 train loss:0.019 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0136 train loss:0.019 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0137 train loss:0.019 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0138 train loss:0.019 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0139 train loss:0.018 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0140 train loss:0.018 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0141 train loss:0.018 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0142 train loss:0.018 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0143 train loss:0.018 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0144 train loss:0.018 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0145 train loss:0.017 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0146 train loss:0.017 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0147 train loss:0.017 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0148 train loss:0.017 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0149 train loss:0.017 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0150 train loss:0.017 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0151 train loss:0.017 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0152 train loss:0.016 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0153 train loss:0.016 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0154 train loss:0.016 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0155 train loss:0.016 acc:100.00 | val loss:0.390 acc:86.25
Epoch:0156 train loss:0.016 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0157 train loss:0.016 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0158 train loss:0.016 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0159 train loss:0.016 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0160 train loss:0.016 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0161 train loss:0.015 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0162 train loss:0.015 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0163 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0164 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0165 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0166 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0167 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0168 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0169 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0170 train loss:0.015 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0171 train loss:0.014 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0172 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0173 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0174 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0175 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0176 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0177 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0178 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0179 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0180 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0181 train loss:0.014 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0182 train loss:0.013 acc:100.00 | val loss:0.387 acc:86.25
Epoch:0183 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0184 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0185 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0186 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0187 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0188 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0189 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0190 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0191 train loss:0.013 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0192 train loss:0.013 acc:100.00 | val loss:0.386 acc:87.50
Epoch:0193 train loss:0.013 acc:100.00 | val loss:0.386 acc:87.50
Epoch:0194 train loss:0.013 acc:100.00 | val loss:0.386 acc:87.50
Epoch:0195 train loss:0.013 acc:100.00 | val loss:0.386 acc:87.50
