,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy
80,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.0,1,2,2,1,0.5405405405405406
81,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.4,1,2,2,1,0.5432432432432432
82,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.5,1,2,2,1,0.5486486486486487
83,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.6,1,2,2,1,0.5810810810810811
84,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.7,1,2,2,1,0.6378378378378379
85,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.8,1,2,2,1,0.7243243243243243
86,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.9,1,2,2,1,0.8216216216216216
87,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,1.0,1,2,2,1,0.8216216216216218
88,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.1,1,2,2,1,0.4607843137254902
89,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.0,1,2,2,1,0.46862745098039216
90,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.2,1,2,2,1,0.48039215686274506
91,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.3,1,2,2,1,0.4901960784313726
92,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.4,1,2,2,1,0.5313725490196078
93,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.5,1,2,2,1,0.5588235294117647
94,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.6,1,2,2,1,0.6117647058823529
95,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.7,1,2,2,1,0.6745098039215687
96,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.8,1,2,2,1,0.7666666666666666
97,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.9,1,2,2,1,0.8470588235294116
98,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.0,1.0,1,2,2,1,0.8607843137254904
