,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
150,cornell,0.05,0.4,200,1e-06,1.0,0.1,0.8,2,3,0.8054054054054053
151,cornell,0.05,0.2,200,1e-07,1.0,0.1,0.2,2,3,0.8054054054054054
152,cornell,0.05,0.6,200,1e-06,1.0,0.1,0.4,2,3,0.8054054054054054
153,cornell,0.05,0.4,200,5e-05,1.0,0.1,0.8,2,3,0.8054054054054054
154,cornell,0.05,0.8,200,1e-07,1.0,0.1,0.4,2,3,0.8081081081081081
155,cornell,0.05,0.2,200,1e-06,1.0,0.1,0.4,2,3,0.8081081081081081
156,cornell,0.05,0.6,200,1e-06,1.0,0.1,0.6,2,3,0.8081081081081081
157,cornell,0.05,0.6,200,1e-06,1.0,0.1,0.8,2,3,0.8081081081081081
158,cornell,0.05,0.8,200,1e-07,1.0,0.1,0.8,2,3,0.8108108108108107
159,cornell,0.05,0.2,200,1e-06,1.0,0.1,0.6,2,3,0.8108108108108107
160,cornell,0.05,0.4,200,1e-06,1.0,0.1,0.4,2,3,0.8108108108108107
161,cornell,0.05,0.8,200,1e-07,1.0,0.1,0.6,2,3,0.8108108108108109
162,cornell,0.05,0.2,200,1e-06,1.0,0.1,0.8,2,3,0.8162162162162161
163,cornell,0.05,0.6,200,5e-05,1.0,0.1,0.4,2,3,0.8162162162162161
164,cornell,0.05,0.4,200,1e-06,1.0,0.1,0.2,2,3,0.8162162162162163
165,cornell,0.05,0.4,200,5e-05,1.0,0.1,0.2,2,3,0.8189189189189188
166,cornell,0.05,0.6,200,5e-05,1.0,0.1,0.8,2,3,0.8189189189189188
167,cornell,0.05,0.2,200,1e-06,1.0,0.1,0.2,2,3,0.818918918918919
168,cornell,0.05,0.6,200,1e-06,1.0,0.1,0.2,2,3,0.818918918918919
169,cornell,0.05,0.8,200,1e-06,1.0,0.1,0.6,2,3,0.818918918918919
170,cornell,0.05,0.4,200,5e-05,1.0,0.1,0.4,2,3,0.818918918918919
171,cornell,0.05,0.4,200,5e-05,1.0,0.1,0.6,2,3,0.818918918918919
172,cornell,0.05,0.6,200,5e-05,1.0,0.1,0.2,2,3,0.818918918918919
173,cornell,0.05,0.8,200,1e-06,1.0,0.1,0.4,2,3,0.8216216216216216
174,cornell,0.05,0.8,200,1e-06,1.0,0.1,0.8,2,3,0.8216216216216218
175,cornell,0.05,0.8,200,5e-05,1.0,0.1,0.2,2,3,0.8216216216216218
176,cornell,0.05,0.2,200,5e-05,1.0,0.1,0.2,2,3,0.8243243243243243
177,cornell,0.05,0.6,200,5e-05,1.0,0.1,0.6,2,3,0.827027027027027
178,cornell,0.05,0.2,200,5e-05,1.0,0.1,0.6,2,3,0.8297297297297297
179,cornell,0.05,0.2,200,5e-05,1.0,0.1,0.8,2,3,0.8297297297297297
180,cornell,0.05,0.8,200,5e-05,1.0,0.1,0.4,2,3,0.8297297297297297
181,cornell,0.05,0.2,200,5e-05,1.0,0.1,0.4,2,3,0.8324324324324325
182,pubmed,0.01,0.8,200,1e-07,1.0,10000.0,0.2,2,3,0.860522312373225
183,pubmed,0.01,0.6,200,1e-07,1.0,10000.0,0.2,2,3,0.8606997971602434
184,pubmed,0.01,0.6,200,1e-06,1.0,10000.0,0.2,2,3,0.8610801217038541
185,pubmed,0.01,0.8,200,1e-06,1.0,10000.0,0.2,2,3,0.8612068965517242
186,pubmed,0.01,0.4,200,1e-07,1.0,10000.0,0.2,2,3,0.8614350912778905
187,pubmed,0.01,0.4,200,1e-06,1.0,10000.0,0.2,2,3,0.8616632860040567
188,pubmed,0.01,0.2,200,1e-07,1.0,10000.0,0.2,2,3,0.8616886409736308
189,pubmed,0.01,0.2,200,1e-06,1.0,10000.0,0.2,2,3,0.8616886409736308
190,pubmed,0.01,0.8,200,5e-05,1.0,10000.0,0.2,2,3,0.8659736308316429
191,pubmed,0.01,0.6,200,5e-05,1.0,10000.0,0.2,2,3,0.8667089249492902
192,pubmed,0.01,0.4,200,5e-05,1.0,10000.0,0.2,2,3,0.8668103448275863
193,pubmed,0.01,0.2,200,5e-05,1.0,10000.0,0.2,2,3,0.8671653144016227
194,pubmed,0.01,0.2,200,1e-07,1.0,10000.0,0.4,2,3,0.8679766734279919
195,pubmed,0.01,0.6,200,1e-07,1.0,10000.0,0.4,2,3,0.8684837728194725
196,pubmed,0.01,0.8,200,1e-07,1.0,10000.0,0.4,2,3,0.8686359026369168
197,pubmed,0.01,0.4,200,1e-06,1.0,10000.0,0.4,2,3,0.8686612576064908
198,pubmed,0.01,0.2,200,1e-06,1.0,10000.0,0.4,2,3,0.8691937119675457
199,pubmed,0.01,0.6,200,1e-06,1.0,10000.0,0.4,2,3,0.8692444219066935
200,pubmed,0.01,0.8,200,1e-06,1.0,10000.0,0.4,2,3,0.8693458417849899
201,pubmed,0.01,0.4,200,1e-07,1.0,10000.0,0.4,2,3,0.869447261663286
202,pubmed,0.01,0.6,200,5e-05,1.0,10000.0,0.4,2,3,0.8733519269776876
203,pubmed,0.01,0.2,200,5e-05,1.0,10000.0,0.4,2,3,0.8736308316430019
204,pubmed,0.01,0.4,200,5e-05,1.0,10000.0,0.4,2,3,0.8737068965517241
205,pubmed,0.01,0.2,200,1e-07,1.0,10000.0,0.8,2,3,0.881947261663286
206,pubmed,0.01,0.4,200,1e-07,1.0,10000.0,0.8,2,3,0.8822008113590265
207,pubmed,0.01,0.4,200,1e-06,1.0,10000.0,0.8,2,3,0.882631845841785
208,pubmed,0.01,0.2,200,1e-06,1.0,10000.0,0.8,2,3,0.882682555780933
209,pubmed,0.01,0.6,200,1e-07,1.0,10000.0,0.8,2,3,0.8827079107505071
210,pubmed,0.01,0.6,200,1e-06,1.0,10000.0,0.8,2,3,0.8834178498985802
211,pubmed,0.01,0.8,200,1e-06,1.0,10000.0,0.8,2,3,0.8835446247464503
212,pubmed,0.01,0.4,200,1e-07,1.0,10000.0,0.6,2,3,0.8835699797160244
213,pubmed,0.01,0.2,200,1e-07,1.0,10000.0,0.6,2,3,0.8835953346855984
214,pubmed,0.01,0.8,200,1e-07,1.0,10000.0,0.8,2,3,0.8836206896551726
215,pubmed,0.01,0.6,200,1e-07,1.0,10000.0,0.6,2,3,0.8836967545638945
216,pubmed,0.01,0.6,200,1e-06,1.0,10000.0,0.6,2,3,0.884127789046653
217,pubmed,0.01,0.8,200,1e-07,1.0,10000.0,0.6,2,3,0.8841277890466532
218,pubmed,0.01,0.4,200,1e-06,1.0,10000.0,0.6,2,3,0.8844320486815416
219,pubmed,0.01,0.2,200,1e-06,1.0,10000.0,0.6,2,3,0.884812373225152
220,pubmed,0.01,0.8,200,1e-06,1.0,10000.0,0.6,2,3,0.8849137931034484
221,pubmed,0.01,0.4,200,5e-05,1.0,10000.0,0.6,2,3,0.8903144016227182
222,pubmed,0.01,0.6,200,5e-05,1.0,10000.0,0.8,2,3,0.8905679513184586
223,pubmed,0.01,0.4,200,5e-05,1.0,10000.0,0.8,2,3,0.8907200811359026
224,pubmed,0.01,0.2,200,5e-05,1.0,10000.0,0.8,2,3,0.8909229208924948
225,pubmed,0.01,0.6,200,5e-05,1.0,10000.0,0.6,2,3,0.8914046653144018
226,pubmed,0.01,0.2,200,5e-05,1.0,10000.0,0.6,2,3,0.8917849898580121
227,squirrel,0.01,0.2,200,1e-06,0.1,0.1,0.4,2,3,0.28155619596541787
228,squirrel,0.01,0.2,200,5e-05,0.1,0.1,0.2,2,3,0.28174831892411145
229,squirrel,0.01,0.2,200,1e-06,0.1,0.1,0.2,2,3,0.2818443804034582
230,squirrel,0.01,0.2,200,5e-05,0.1,0.1,0.6,2,3,0.2826128722382325
231,squirrel,0.01,0.2,200,1e-06,0.1,0.1,0.6,2,3,0.28299711815561956
232,squirrel,0.01,0.2,200,5e-05,0.1,0.1,0.4,2,3,0.2831892411143132
