,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy,std
78,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,2,2,5,0.8751,0.0102
79,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,1,2,3,0.8753,0.0143
80,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,3,2,4,0.8753,0.0124
81,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,1,2,5,0.8753,0.0096
82,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,3,2,5,0.8753,0.0149
83,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,1,2,5,0.8753,0.014
84,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.9,0.9,2,2,2,3,0.8753,0.0139
85,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,2,2,4,0.8753,0.0124
86,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,3,2,4,0.8753,0.0112
87,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,1,2,4,0.8755,0.0112
88,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,2,2,3,0.8755,0.0139
89,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,1,2,4,0.8757,0.0143
90,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8757,0.0114
91,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,3,2,4,0.8759,0.012
92,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.9,0.9,2,1,2,4,0.8759,0.0118
93,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,2,2,4,0.8759,0.0104
94,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,1,2,3,0.8761,0.0105
95,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,3,2,5,0.8761,0.013
96,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,3,2,3,0.8761,0.0141
97,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.9,0.9,2,2,2,5,0.8761,0.0144
98,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,2,2,3,0.8763,0.0096
99,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,1,2,3,0.8765,0.0141
100,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,3,2,3,0.8765,0.0127
101,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,1,2,4,0.8765,0.0134
102,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,2,1,2,4,0.8765,0.0152
103,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,2,2,5,0.8765,0.0113
104,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,1,2,4,0.8767,0.0099
105,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,2,2,5,0.8767,0.0139
106,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.8,0.9,2,1,2,3,0.8767,0.0133
107,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,1,2,5,0.8767,0.0105
108,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,1,2,5,0.8769,0.0118
109,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,1,2,3,0.8769,0.0107
110,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,1,2,5,0.8769,0.0101
111,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,2,2,4,0.8769,0.0125
112,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,2,2,3,0.8771,0.0113
