,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy
40,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.7,2,2,2,1,0.6297297297297296
41,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.8,2,2,2,1,0.7108108108108109
42,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.9,2,2,2,1,0.7945945945945946
43,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,1.0,2,2,2,1,0.8513513513513514
44,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.0,2,2,2,6,0.2547368421052632
45,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.1,2,2,2,6,0.26098684210526313
46,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.2,2,2,2,6,0.306578947368421
47,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.3,2,2,2,6,0.34322368421052635
48,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.4,2,2,2,6,0.3530263157894737
49,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.5,2,2,2,6,0.35638157894736844
50,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.6,2,2,2,6,0.3586842105263157
51,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.8,2,2,2,6,0.3630921052631579
52,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.7,2,2,2,6,0.3632236842105263
53,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.9,2,2,2,6,0.3673684210526316
54,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,1.0,2,2,2,6,0.36743421052631575
55,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.0,2,1,2,4,0.8147819472616634
56,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.1,2,1,2,4,0.8212221095334684
57,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.2,2,1,2,4,0.8327586206896551
58,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.3,2,1,2,4,0.8420892494929009
59,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.4,2,1,2,4,0.8524594320486816
60,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.5,2,1,2,4,0.8609787018255577
61,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.6,2,1,2,4,0.8657200811359026
62,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.7,2,1,2,4,0.8700304259634889
63,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.8,2,1,2,4,0.8719320486815414
64,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,1.0,2,1,2,4,0.8723884381338742
65,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.9,2,1,2,4,0.8751521298174442
66,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,1.0,2,1,2,1,0.5373679154658981
67,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.2,2,1,2,1,0.5435158501440923
68,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.3,2,1,2,1,0.5468780019212296
69,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.9,2,1,2,1,0.5476464937560039
70,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.7,2,1,2,1,0.5478386167146974
71,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.4,2,1,2,1,0.5479346781940442
72,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.5,2,1,2,1,0.5485110470701249
73,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.0,2,1,2,1,0.5494716618635926
74,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.1,2,1,2,1,0.5494716618635929
75,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.8,2,1,2,1,0.5512968299711816
76,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.6,2,1,2,1,0.5543707973102785
77,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.2,2,2,2,3,0.5648648648648649
78,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.0,2,2,2,3,0.5675675675675675
79,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.1,2,2,2,3,0.5702702702702703
80,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.4,2,2,2,3,0.5702702702702703
81,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.5,2,2,2,3,0.5702702702702703
82,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.3,2,2,2,3,0.5756756756756757
83,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.6,2,2,2,3,0.6054054054054054
84,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.7,2,2,2,3,0.654054054054054
85,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.8,2,2,2,3,0.7243243243243244
86,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.9,2,2,2,3,0.8135135135135133
87,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,1.0,2,2,2,3,0.8297297297297297
88,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.1,2,2,2,3,0.4784313725490197
89,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.0,2,2,2,3,0.48235294117647065
90,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.2,2,2,2,3,0.48235294117647065
91,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.3,2,2,2,3,0.49607843137254903
92,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.4,2,2,2,3,0.5098039215686275
93,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.5,2,2,2,3,0.5568627450980392
94,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.6,2,2,2,3,0.6196078431372548
95,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.7,2,2,2,3,0.6705882352941177
96,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.8,2,2,2,3,0.7666666666666666
97,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.9,2,2,2,3,0.8607843137254904
98,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,1.0,2,2,2,3,0.8705882352941176
