,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
133,cora,0.01,0.5,40,0.0005,1.0,0.1,0.9,2,3,0.7468812877263582
134,cora,0.01,0.5,40,0.0005,0.1,0.5,0.1,2,3,0.7470824949698189
135,cora,0.01,0.5,40,0.0005,0.1,0.5,0.9,2,3,0.7472837022132797
136,cora,0.01,0.5,40,0.0005,0.1,10.0,0.9,2,3,0.7472837022132797
137,cora,0.01,0.5,40,0.0005,0.5,10.0,0.9,2,3,0.7472837022132797
138,cora,0.01,0.5,40,0.0005,1.0,10.0,0.9,2,3,0.7472837022132797
139,cora,0.01,0.5,40,0.0005,10.0,10.0,0.9,2,3,0.7472837022132797
140,cora,0.01,0.5,40,0.0005,0.5,0.1,0.9,2,3,0.7474849094567404
141,cora,0.01,0.5,40,0.0005,0.5,1.0,0.5,2,3,0.7474849094567404
142,cora,0.01,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.7474849094567405
143,cora,0.01,0.5,40,0.0005,0.1,0.1,0.5,2,3,0.7476861167002011
144,cornell,0.01,0.5,40,0.0005,0.1,10.0,0.1,2,3,0.7135135135135134
145,cornell,0.01,0.5,40,0.0005,0.5,10.0,0.1,2,3,0.7162162162162161
146,cornell,0.01,0.5,40,0.0005,1.0,10.0,0.1,2,3,0.7189189189189189
147,cornell,0.01,0.5,40,0.0005,10.0,0.1,0.1,2,3,0.7324324324324325
148,cornell,0.01,0.5,40,0.0005,10.0,0.5,0.1,2,3,0.7351351351351352
149,cornell,0.01,0.5,40,0.0005,0.1,10.0,0.5,2,3,0.7378378378378377
150,cornell,0.01,0.5,40,0.0005,10.0,1.0,0.1,2,3,0.7378378378378379
151,cornell,0.01,0.5,40,0.0005,0.5,10.0,0.5,2,3,0.7405405405405404
152,cornell,0.01,0.5,40,0.0005,1.0,10.0,0.5,2,3,0.7405405405405404
153,cornell,0.01,0.5,40,0.0005,10.0,10.0,0.5,2,3,0.7621621621621621
154,cornell,0.01,0.5,40,0.0005,10.0,10.0,0.1,2,3,0.7648648648648648
155,cornell,0.01,0.5,40,0.0005,0.1,10.0,0.9,2,3,0.7810810810810811
156,cornell,0.01,0.5,40,0.0005,0.5,10.0,0.9,2,3,0.7837837837837838
157,cornell,0.01,0.5,40,0.0005,1.0,10.0,0.9,2,3,0.7837837837837838
158,cornell,0.01,0.5,40,0.0005,10.0,0.1,0.9,2,3,0.7972972972972973
159,cornell,0.01,0.5,40,0.0005,10.0,0.5,0.9,2,3,0.7972972972972973
160,cornell,0.01,0.5,40,0.0005,10.0,1.0,0.9,2,3,0.7972972972972973
161,cornell,0.01,0.5,40,0.0005,0.1,1.0,0.9,2,3,0.8
162,cornell,0.01,0.5,40,0.0005,0.5,1.0,0.9,2,3,0.8
163,cornell,0.01,0.5,40,0.0005,0.1,0.5,0.9,2,3,0.8027027027027026
164,cornell,0.01,0.5,40,0.0005,0.1,1.0,0.5,2,3,0.8027027027027026
165,cornell,0.01,0.5,40,0.0005,0.5,0.5,0.5,2,3,0.8027027027027026
166,cornell,0.01,0.5,40,0.0005,0.5,1.0,0.5,2,3,0.8027027027027026
167,cornell,0.01,0.5,40,0.0005,1.0,1.0,0.1,2,3,0.8027027027027026
168,cornell,0.01,0.5,40,0.0005,1.0,1.0,0.5,2,3,0.8027027027027026
169,cornell,0.01,0.5,40,0.0005,1.0,1.0,0.9,2,3,0.8027027027027026
170,cornell,0.01,0.5,40,0.0005,0.1,1.0,0.1,2,3,0.8054054054054053
171,cornell,0.01,0.5,40,0.0005,0.5,0.1,0.5,2,3,0.8054054054054053
172,cornell,0.01,0.5,40,0.0005,0.1,0.1,0.5,2,3,0.8054054054054054
173,cornell,0.01,0.5,40,0.0005,0.1,0.5,0.5,2,3,0.8054054054054054
174,cornell,0.01,0.5,40,0.0005,0.5,0.5,0.9,2,3,0.8054054054054054
175,cornell,0.01,0.5,40,0.0005,1.0,0.1,0.9,2,3,0.8054054054054054
176,cornell,0.01,0.5,40,0.0005,1.0,0.5,0.9,2,3,0.8054054054054054
177,cornell,0.01,0.5,40,0.0005,10.0,0.1,0.5,2,3,0.8054054054054054
178,cornell,0.01,0.5,40,0.0005,10.0,0.5,0.5,2,3,0.8054054054054054
179,cornell,0.01,0.5,40,0.0005,10.0,1.0,0.5,2,3,0.8054054054054054
180,cornell,0.01,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.8081081081081081
181,cornell,0.01,0.5,40,0.0005,0.5,0.1,0.9,2,3,0.8081081081081081
182,cornell,0.01,0.5,40,0.0005,0.5,1.0,0.1,2,3,0.8081081081081081
183,cornell,0.01,0.5,40,0.0005,1.0,0.1,0.1,2,3,0.8081081081081081
184,cornell,0.01,0.5,40,0.0005,1.0,0.1,0.5,2,3,0.8081081081081081
185,cornell,0.01,0.5,40,0.0005,1.0,0.5,0.5,2,3,0.8081081081081081
186,cornell,0.01,0.5,40,0.0005,10.0,10.0,0.9,2,3,0.8081081081081081
187,cornell,0.01,0.5,40,0.0005,0.1,0.5,0.1,2,3,0.8108108108108107
188,cornell,0.01,0.5,40,0.0005,0.5,0.5,0.1,2,3,0.8108108108108107
189,cornell,0.01,0.5,40,0.0005,1.0,0.5,0.1,2,3,0.8108108108108107
190,cornell,0.01,0.5,40,0.0005,0.1,0.1,0.1,2,3,0.8135135135135135
191,cornell,0.01,0.5,40,0.0005,0.5,0.1,0.1,2,3,0.8135135135135135
192,film,0.01,0.5,40,0.0005,0.1,1.0,0.5,2,3,0.3649342105263158
193,film,0.01,0.5,40,0.0005,0.1,0.5,0.5,2,3,0.36500000000000005
194,film,0.01,0.5,40,0.0005,0.1,0.1,0.1,2,3,0.36506578947368423
195,film,0.01,0.5,40,0.0005,1.0,0.5,0.5,2,3,0.3651315789473684
196,film,0.01,0.5,40,0.0005,0.1,0.1,0.5,2,3,0.3651315789473685
197,film,0.01,0.5,40,0.0005,0.5,0.5,0.1,2,3,0.36526315789473685
198,film,0.01,0.5,40,0.0005,0.5,1.0,0.5,2,3,0.36526315789473685
199,film,0.01,0.5,40,0.0005,10.0,10.0,0.9,2,3,0.36526315789473685
200,film,0.01,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.36532894736842103
201,film,0.01,0.5,40,0.0005,0.1,0.5,0.9,2,3,0.3653289473684211
202,film,0.01,0.5,40,0.0005,0.1,10.0,0.9,2,3,0.3653947368421052
203,film,0.01,0.5,40,0.0005,1.0,0.1,0.5,2,3,0.36539473684210527
204,film,0.01,0.5,40,0.0005,0.1,0.5,0.1,2,3,0.36546052631578946
205,film,0.01,0.5,40,0.0005,0.1,1.0,0.9,2,3,0.36546052631578946
206,film,0.01,0.5,40,0.0005,0.5,0.1,0.5,2,3,0.36546052631578946
207,film,0.01,0.5,40,0.0005,1.0,10.0,0.9,2,3,0.36552631578947364
208,film,0.01,0.5,40,0.0005,1.0,1.0,0.1,2,3,0.3655263157894737
209,film,0.01,0.5,40,0.0005,0.5,0.5,0.5,2,3,0.36559210526315783
210,film,0.01,0.5,40,0.0005,1.0,0.1,0.9,2,3,0.3655921052631579
211,film,0.01,0.5,40,0.0005,0.5,0.5,0.9,2,3,0.36559210526315794
212,film,0.01,0.5,40,0.0005,0.5,1.0,0.9,2,3,0.36565789473684207
213,film,0.01,0.5,40,0.0005,0.5,10.0,0.9,2,3,0.36565789473684207
214,film,0.01,0.5,40,0.0005,1.0,0.1,0.1,2,3,0.36565789473684207
215,film,0.01,0.5,40,0.0005,1.0,1.0,0.5,2,3,0.3656578947368421
216,film,0.01,0.5,40,0.0005,1.0,1.0,0.9,2,3,0.3656578947368421
217,film,0.01,0.5,40,0.0005,0.5,10.0,0.5,2,3,0.3657236842105263
218,film,0.01,0.5,40,0.0005,0.5,1.0,0.1,2,3,0.3657894736842105
219,film,0.01,0.5,40,0.0005,0.5,0.1,0.1,2,3,0.36578947368421055
220,film,0.01,0.5,40,0.0005,0.5,0.1,0.9,2,3,0.36578947368421055
221,film,0.01,0.5,40,0.0005,10.0,1.0,0.9,2,3,0.36578947368421055
222,film,0.01,0.5,40,0.0005,1.0,0.5,0.9,2,3,0.36585526315789474
223,film,0.01,0.5,40,0.0005,10.0,0.1,0.5,2,3,0.36585526315789474
224,film,0.01,0.5,40,0.0005,10.0,0.1,0.9,2,3,0.36585526315789474
225,film,0.01,0.5,40,0.0005,0.1,10.0,0.5,2,3,0.3659210526315789
226,film,0.01,0.5,40,0.0005,10.0,0.5,0.9,2,3,0.365921052631579
227,film,0.01,0.5,40,0.0005,1.0,10.0,0.5,2,3,0.36605263157894735
228,film,0.01,0.5,40,0.0005,0.1,1.0,0.1,2,3,0.3661184210526316
229,film,0.01,0.5,40,0.0005,10.0,0.5,0.5,2,3,0.3661842105263159
230,film,0.01,0.5,40,0.0005,0.1,10.0,0.1,2,3,0.3665131578947368
231,film,0.01,0.5,40,0.0005,10.0,0.1,0.1,2,3,0.3665131578947368
232,film,0.01,0.5,40,0.0005,10.0,1.0,0.5,2,3,0.3665131578947368
233,film,0.01,0.5,40,0.0005,10.0,1.0,0.1,2,3,0.366578947368421
234,film,0.01,0.5,40,0.0005,1.0,0.5,0.1,2,3,0.36664473684210525
235,film,0.01,0.5,40,0.0005,10.0,10.0,0.1,2,3,0.3666447368421053
