,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,norm_layers,orders,high_train,high_valid,final_train,final_test
21,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,1,62.50,62.61,62.36,62.55
22,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,2,58.79,58.35,58.78,58.54
23,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,3,53.33,53.25,53.21,53.53
24,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,1,62.25,61.88,62.19,61.91
25,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,2,60.10,59.88,60.10,59.90
26,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,3,51.90,51.80,51.90,52.05
27,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,1,98.94,73.87,80.42,74.44
28,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,2,98.96,74.57,80.23,74.48
29,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,3,99.00,73.86,81.70,74.32
30,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,1,98.94,73.99,81.25,74.76
31,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,2,99.19,74.15,80.74,73.99
32,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,3,96.93,73.11,82.27,73.77
33,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,1,99.25,73.73,80.97,74.08
34,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,2,98.98,74.31,80.52,74.69
35,fb100,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,3,97.58,73.93,81.70,74.30
36,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,1,99.00,74.38,81.13,74.59
37,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,2,99.73,77.13,86.02,77.44
38,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,3,72.24,70.91,72.10,70.72
39,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,1,99.28,73.67,80.52,73.88
40,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,2,99.08,76.23,80.63,76.22
41,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,3,78.48,74.02,78.48,73.90
42,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,1,99.84,74.02,80.48,73.79
43,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,2,98.89,75.56,83.25,75.41
44,fb100,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,3,84.34,75.85,84.25,75.36
45,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,1,100.00,80.80,86.01,80.71
46,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,2,86.26,80.82,85.09,80.41
47,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,3,52.89,53.47,52.88,52.27
48,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,1,100.00,81.46,90.43,80.82
49,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,2,95.62,81.75,89.15,81.60
50,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,3,65.21,64.41,65.21,63.25
51,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,1,99.88,76.64,82.21,75.90
52,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,2,88.60,81.60,88.60,80.79
53,fb100,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,3,81.03,73.99,81.01,74.10
54,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,1,45.14,36.43,39.19,36.61
55,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,2,45.95,36.40,38.41,36.48
56,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,3,47.36,40.47,44.38,40.73
57,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,1,46.65,36.34,38.09,36.58
58,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,2,46.60,36.39,37.57,36.66
59,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,3,48.68,45.00,48.38,45.16
60,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,1,46.84,36.25,38.53,36.60
61,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,2,53.72,45.72,52.67,45.86
62,arxiv-year,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,3,51.85,47.11,51.47,47.03
63,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,1,51.16,39.53,50.20,39.57
64,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,2,49.97,47.75,49.71,47.72
65,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,3,44.52,44.39,44.52,44.34
66,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,1,54.47,45.66,54.38,45.75
67,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,2,53.26,49.36,52.94,49.35
68,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,3,49.60,48.44,49.54,48.46
69,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,1,54.58,45.32,53.82,45.73
70,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,2,54.61,49.87,54.46,49.77
71,arxiv-year,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,3,46.88,45.85,46.77,46.35
72,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,1,55.43,47.30,54.76,47.28
73,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,2,51.14,48.97,50.99,49.38
74,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,3,48.09,47.04,48.09,47.04
75,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,1,56.70,48.05,56.08,47.96
76,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,2,48.49,47.43,48.47,47.47
77,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,3,46.57,45.74,46.57,45.97
78,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,1,55.78,48.21,55.78,48.36
79,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,2,45.84,44.80,45.84,44.87
80,arxiv-year,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,3,43.93,43.48,43.87,43.79
81,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,1,87.53,87.60,87.53,87.48
82,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,2,85.60,85.48,85.60,85.71
83,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,3,85.75,85.62,85.75,85.76
84,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,1,87.12,87.01,87.12,87.12
85,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,2,86.67,86.58,86.67,86.65
86,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,3,86.51,86.54,86.51,86.54
87,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,1,85.43,85.46,85.43,85.53
88,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,2,87.28,87.28,87.28,87.32
89,genius,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,3,87.06,87.17,87.05,87.18
90,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,1,87.77,87.82,87.77,87.82
91,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,2,87.19,87.09,87.19,87.26
92,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,3,86.90,86.87,86.90,86.94
93,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,1,87.19,87.26,87.19,87.27
94,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,2,87.30,87.17,87.25,87.34
95,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,3,87.02,86.86,86.83,86.88
96,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,1,88.26,88.37,88.26,88.40
97,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,2,87.80,87.74,87.78,87.80
98,genius,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,3,88.05,87.92,88.05,87.95
99,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,1,88.32,88.37,88.32,88.33
100,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,2,86.98,86.94,86.98,87.08
101,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,3,88.04,87.87,88.04,88.10
102,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,1,87.26,87.32,87.26,87.33
103,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,2,87.63,87.57,87.47,87.58
104,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.5,2,3,88.21,88.08,88.21,88.21
105,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,1,88.45,88.47,88.45,88.54
106,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,2,87.78,87.73,87.78,87.78
107,genius,0.01,1000,256,0.0,0.0,1.0,1000.0,0.9,2,3,87.87,87.73,87.87,87.97
108,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,1,62.56,62.53,62.56,62.30
109,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,2,62.61,62.57,62.60,62.36
110,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,3,62.64,62.58,62.63,62.42
111,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,1,62.41,62.40,62.41,62.27
112,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,2,62.50,62.45,62.50,62.29
113,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,3,62.55,62.49,62.53,62.27
114,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,1,62.27,62.27,62.25,62.11
115,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,2,62.52,62.51,62.52,62.35
116,pokec,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,3,69.54,69.63,69.54,69.48
117,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,1,62.63,62.58,62.63,62.40
118,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,2,62.88,62.84,62.88,62.64
119,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,3,66.18,66.16,66.18,66.07
120,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,1,62.50,62.48,62.49,62.32
121,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,2,68.87,68.88,68.87,68.78
122,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,3,73.70,73.63,73.70,73.68
123,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,1,63.75,63.66,63.75,63.50
124,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,2,75.03,75.06,75.03,75.06
125,pokec,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,3,77.00,77.00,77.00,77.10
126,pokec,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,1,62.86,62.83,62.85,62.62
127,pokec,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,2,0,0,0,0
